CC1p1h,,CCDIS,,CC2p2h,,CC1pi,,CCother,,NC,,Total,
X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y
1.5262985230888781,0.33958149980442376,,,2.401291591699022,0.04248513780863905,10.337182173309799,0.08506745770053858,,,2.3559827488993275,0.2629333239990044,0.5231441542144959,1.1616065713676125
1.6274428161464942,0.31789113060948737,,,2.6227747796471106,0.039001129817483715,11.29063242069307,0.07819621971798196,,,2.581038219131347,0.25617096126617156,0.5445500286699354,1.1848139357086978
1.749263655628267,0.2951628173671861,,,2.86468647478409,0.035807455825591195,12.332024174668186,0.07200242773370591,,,2.8191003416012776,0.24959005728287775,0.5668317830477845,1.2073825652514045
1.8953441971061626,0.2720619088258305,,,3.1289109009638483,0.03290411583296171,13.469468722219306,0.06609896974869245,,,3.0791201296860793,0.24397693329712755,0.5923961714854871,1.2294189157954627
2.053623885653633,0.24938682348339403,,,3.417506073472935,0.03019433183984077,14.71182549508145,0.06067940176245079,,,3.3096050323456723,0.2396080978796471,0.6240991257043759,1.252611072165158
2.2340627370892068,0.22839567533668248,,,3.7327198286875545,0.02777488184598287,16.068771074889657,0.05593727977448926,,,3.7627786873130455,0.23468624532071303,0.6627934180397329,1.275461049178579
2.440121567594023,0.20855618538704745,,,4.077007332226352,0.025452209851879237,17.550874563019754,0.051388713786036266,,,4.109838670403043,0.2314925713288205,0.7152689343462532,1.2971151266236076
2.665186239306475,0.1892005854361838,,,4.4530502019680975,0.02332309385728415,19.16967990216819,0.047227259796600585,,,4.488909739414345,0.22946023333398013,0.7812417817783932,1.309696266591669
2.9110097564493116,0.17236121347893274,,,4.863777394881366,0.0214843118619521,20.9377957908648,0.043549695805936484,,,4.902944437629924,0.22820211933717394,0.8532996363865857,1.3150190565781563
3.179506811632102,0.15755417951652229,,,5.312388020351459,0.019839085866128814,22.868993891252792,0.04006568781478115,,,5.355167636233758,0.22713756133987628,0.9320037489546581,1.3124060505847897
3.472768699183493,0.14313425755312892,,,5.8023762576950855,0.018097081870551257,24.978316095065715,0.0369687918226429,,,5.849101652481355,0.22723433933963055,1.0179671372460375,1.3029218066088666
3.7930796040150385,0.1302627835858048,,,6.33755857194261,0.01683896787374506,27.173001645070332,0.03423965222957115,,,6.388593684645342,0.22558911334380727,1.1118593607323641,1.28685665864965
4.142934392888768,0.11903653561430416,,,6.922103439868637,0.015387297877430095,,,,,6.977845777423931,0.22316966334994937,1.214411735719314,1.267404280699032
4.525058046662755,0.10829417764157467,,,7.560563817803737,0.014032405880869847,,,,,7.62144755120954,0.22094376935560023,1.326423031489677,1.2455324527545564
4.94242688487032,0.09880993366565183,,,8.257912604115578,0.013064625883326686,,,,,8.32441195014232,0.2189114313607594,1.4487656918303309,1.2235638468103265
5.398291747948817,0.09019669168751743,,,9.01958137257286,0.012000067886029253,,,,,9.092214287386241,0.21707264936542736,1.569751728472795,1.201208128867079
5.896203317681837,0.08284156370618945,,,9.851502678282001,0.011032287888486092,,,,,9.930834891747173,0.2152338673700953,1.7008412767769392,1.1777878529265344
6.440039773073028,0.07548643572486124,,,10.760156265712924,0.010161285890697203,,,,,10.846805687802815,0.21358864137427203,1.8577184130133242,1.1586258089751795
7.034036997060093,0.06871197574205912,,,11.752619538723213,0.009290283892908091,,,,,11.847261072352024,0.21174985937893998,2.0209442982771932,1.1399960440224737
7.68282156934578,0.0630988517563087,,,12.836622685686175,0.008903171893891004,,,,,12.939993483454684,0.21049174538213378,2.1985118025041612,1.1149789310859826
8.39144680232345,0.057388949770804,,,14.020608889086366,0.007838613896593571,,,,,14.133514094883308,0.20904007538581904,2.401291591699022,1.0938813271395413
