theta23,dm31,chi2
48.4461,-0.00190556,493.22
49.0239,-0.00190556,493.5
49.6034,-0.00190556,493.84
50.1849,-0.00190556,494.244
50.7685,-0.00190556,494.713
51.3545,-0.00190556,495.252
51.9433,-0.00190556,495.863
52.535,-0.00190556,496.551
53.1301,-0.00190556,497.32
53.7288,-0.00190556,498.172
54.3315,-0.00190556,499.112
54.9384,-0.00190556,500.144
55.5501,-0.00190556,501.272
56.1668,-0.00190556,502.498
56.7891,-0.00190556,503.826
33.2109,-0.00195,506.615
33.8332,-0.00195,505.137
34.4499,-0.00195,503.763
35.0616,-0.00195,502.49
35.6685,-0.00195,501.314
36.2712,-0.00195,500.22
36.8699,-0.00195,499.213
37.465,-0.00195,498.292
38.0567,-0.00195,497.454
38.6455,-0.00195,496.695
39.2315,-0.00195,496.011
39.8151,-0.00195,495.398
40.3966,-0.00195,494.854
40.9761,-0.00195,494.374
41.5539,-0.00195,493.956
42.1304,-0.00195,493.598
42.7057,-0.00195,493.296
43.2801,-0.00195,493.048
43.8538,-0.00195,492.854
44.427,-0.00195,492.711
45,-0.00195,492.618
45.573,-0.00195,492.576
46.1462,-0.00195,492.585
46.7199,-0.00195,492.644
47.2943,-0.00195,492.756
47.8696,-0.00195,492.92
48.4461,-0.00195,493.139
49.0239,-0.00195,493.416
49.6034,-0.00195,493.752
50.1849,-0.00195,494.151
50.7685,-0.00195,494.615
51.3545,-0.00195,495.149
51.9433,-0.00195,495.755
52.535,-0.00195,496.438
53.1301,-0.00195,497.201
53.7288,-0.00195,498.048
54.3315,-0.00195,498.983
54.9384,-0.00195,500.009
55.5501,-0.00195,501.131
56.1668,-0.00195,502.351
56.7891,-0.00195,503.674
33.2109,-0.002,506.466
33.8332,-0.002,504.985
34.4499,-0.002,503.608
35.0616,-0.002,502.33
35.6685,-0.002,501.15
36.2712,-0.002,500.063
36.8699,-0.002,499.066
37.465,-0.002,498.156
38.0567,-0.002,497.329
38.6455,-0.002,496.581
39.2315,-0.002,495.908
39.8151,-0.002,495.306
40.3966,-0.002,494.773
40.9761,-0.002,494.303
41.5539,-0.002,493.895
42.1304,-0.002,493.546
42.7057,-0.002,493.252
43.2801,-0.002,493.012
43.8538,-0.002,492.824
44.427,-0.002,492.684
45,-0.002,492.59
45.573,-0.002,492.547
46.1462,-0.002,492.553
46.7199,-0.002,492.61
47.2943,-0.002,492.718
47.8696,-0.002,492.879
48.4461,-0.002,493.095
49.0239,-0.002,493.367
49.6034,-0.002,493.699
50.1849,-0.002,494.093
50.7685,-0.002,494.553
51.3545,-0.002,495.082
51.9433,-0.002,495.682
52.535,-0.002,496.36
53.1301,-0.002,497.117
53.7288,-0.002,497.954
54.3315,-0.002,498.879
54.9384,-0.002,499.895
55.5501,-0.002,501.007
56.1668,-0.002,502.218
56.7891,-0.002,503.531
33.2109,-0.00202222,506.425
33.8332,-0.00202222,504.944
34.4499,-0.00202222,503.565
35.0616,-0.00202222,502.286
35.6685,-0.00202222,501.104
36.2712,-0.00202222,500.016
36.8699,-0.00202222,499.018
37.465,-0.00202222,498.106
38.0567,-0.00202222,497.277
38.6455,-0.00202222,496.527
39.2315,-0.00202222,495.852
39.8151,-0.00202222,495.248
40.3966,-0.00202222,494.713
40.9761,-0.00202222,494.242
41.5539,-0.00202222,493.833
42.1304,-0.00202222,493.482
42.7057,-0.00202222,493.187
43.2801,-0.00202222,492.945
43.8538,-0.00202222,492.756
44.427,-0.00202222,492.617
45,-0.00202222,492.528
45.573,-0.00202222,492.488
46.1462,-0.00202222,492.498
46.7199,-0.00202222,492.557
47.2943,-0.00202222,492.667
47.8696,-0.00202222,492.829
