theta23,dm31,chi2
36.2712,0.002,499.559
36.8699,0.002,498.581
37.465,0.002,497.69
38.0567,0.002,496.882
38.6455,0.002,496.151
39.2315,0.002,495.496
39.8151,0.002,494.911
40.3966,0.002,494.394
40.9761,0.002,493.942
41.5539,0.002,493.551
42.1304,0.002,493.219
42.7057,0.002,492.944
43.2801,0.002,492.724
43.8538,0.002,492.556
44.427,0.002,492.441
45,0.002,492.377
45.573,0.002,492.364
46.1462,0.002,492.403
46.7199,0.002,492.494
47.2943,0.002,492.637
47.8696,0.002,492.836
48.4461,0.002,493.091
49.0239,0.002,493.405
49.6034,0.002,493.781
50.1849,0.002,494.221
50.7685,0.002,494.729
51.3545,0.002,495.308
51.9433,0.002,495.961
52.535,0.002,496.692
53.1301,0.002,497.505
53.7288,0.002,498.404
54.3315,0.002,499.392
54.9384,0.002,500.472
55.5501,0.002,501.649
56.1668,0.002,502.926
56.7891,0.002,504.305
33.2109,0.00205,505.748
33.8332,0.00205,504.296
34.4499,0.00205,502.948
35.0616,0.00205,501.693
35.6685,0.00205,500.531
36.2712,0.00205,499.463
36.8699,0.00205,498.486
37.465,0.00205,497.594
38.0567,0.00205,496.786
38.6455,0.00205,496.055
39.2315,0.00205,495.399
39.8151,0.00205,494.815
40.3966,0.00205,494.298
40.9761,0.00205,493.845
41.5539,0.00205,493.453
42.1304,0.00205,493.12
42.7057,0.00205,492.844
43.2801,0.00205,492.621
43.8538,0.00205,492.452
44.427,0.00205,492.334
45,0.00205,492.267
45.573,0.00205,492.251
46.1462,0.00205,492.286
46.7199,0.00205,492.372
47.2943,0.00205,492.511
47.8696,0.00205,492.705
48.4461,0.00205,492.954
49.0239,0.00205,493.262
49.6034,0.00205,493.631
50.1849,0.00205,494.064
50.7685,0.00205,494.565
51.3545,0.00205,495.136
51.9433,0.00205,495.781
52.535,0.00205,496.504
53.1301,0.00205,497.309
53.7288,0.00205,498.199
54.3315,0.00205,499.178
54.9384,0.00205,500.25
55.5501,0.00205,501.418
56.1668,0.00205,502.685
56.7891,0.00205,504.056
33.2109,0.0021,505.634
33.8332,0.0021,504.176
34.4499,0.0021,502.823
35.0616,0.0021,501.571
35.6685,0.0021,500.417
36.2712,0.0021,499.357
36.8699,0.0021,498.387
37.465,0.0021,497.504
38.0567,0.0021,496.704
38.6455,0.0021,495.982
39.2315,0.0021,495.335
39.8151,0.0021,494.76
40.3966,0.0021,494.251
40.9761,0.0021,493.804
41.5539,0.0021,493.411
42.1304,0.0021,493.077
42.7057,0.0021,492.798
43.2801,0.0021,492.574
43.8538,0.0021,492.402
44.427,0.0021,492.281
45,0.0021,492.211
45.573,0.0021,492.191
46.1462,0.0021,492.222
46.7199,0.0021,492.304
47.2943,0.0021,492.438
47.8696,0.0021,492.626
48.4461,0.0021,492.87
49.0239,0.0021,493.172
49.6034,0.0021,493.535
50.1849,0.0021,493.961
50.7685,0.0021,494.454
51.3545,0.0021,495.018
51.9433,0.0021,495.656
52.535,0.0021,496.371
53.1301,0.0021,497.167
53.7288,0.0021,498.049
54.3315,0.0021,499.02
54.9384,0.0021,500.083
55.5501,0.0021,501.243
56.1668,0.0021,502.501
56.7891,0.0021,503.862
33.2109,0.00212222,505.608
33.8332,0.00212222,504.149
34.4499,0.00212222,502.794
35.0616,0.00212222,501.54
35.6685,0.00212222,500.384
36.2712,0.00212222,499.321
36.8699,0.00212222,498.349
37.465,0.00212222,497.464
38.0567,0.00212222,496.66
38.6455,0.00212222,495.936
39.2315,0.00212222,495.287
39.8151,0.00212222,494.708
40.3966,0.00212222,494.197
40.9761,0.00212222,493.751
41.5539,0.00212222,493.365
42.1304,0.00212222,493.038
42.7057,0.00212222,492.766
43.2801,0.00212222,492.548
43.8538,0.00212222,492.382
44.427,0.00212222,492.267
45,0.00212222,492.202
45.573,0.00212222,492.186
46.1462,0.00212222,492.217
46.7199,0.00212222,492.297
47.2943,0.00212222,492.429
47.8696,0.00212222,492.615
48.4461,0.00212222,492.856
49.0239,0.00212222,493.156
49.6034,0.00212222,493.515
50.1849,0.00212222,493.939
50.7685,0.00212222,494.429
51.3545,0.00212222,494.989
51.9433,0.00212222,495.624
52.535,0.00212222,496.335
53.1301,0.00212222,497.128
53.7288,0.00212222,498.006
54.3315,0.00212222,498.973
54.9384,0.00212222,500.033
55.5501,0.00212222,501.188
56.1668,0.00212222,502.443
56.7891,0.00212222,503.8
33.2109,0.00214444,505.6
33.8332,0.00214444,504.14
34.4499,0.00214444,502.783
35.0616,0.00214444,501.528
35.6685,0.00214444,500.369
